geocode,tax_type,tax_cat,tax_auth_id,effective,description,pass_flag,pass_type,base_type,date_flag,rounding,location,report_to,max_tax,unit_type,max_type,thresh_type,unit_and_or_tax,formula,tier,tax_rate,min_tax_base,max_tax_base,fee,min_unit_base,max_unit_base
US0801567280,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801700000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801714175,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801741010,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801900000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801912900,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801924620,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801929735,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801938370,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0801970360,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802100000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802102355,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802142055,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802148060,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802165740,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802167830,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802300000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802307190,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802368105,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802500000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802518750,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802555705,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802556145,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802574815,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802700000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802770250,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0802783450,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08029A0008,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08029A0009,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08029A0010,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08029A0011,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08029A0012,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08029A0013,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08029A0014,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08031A0002,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0803300000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0803321265,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08033A0001,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0803500000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0803512415,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0803543550,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0007,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0016,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0018,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0020,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0023,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0024,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0025,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0027,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0028,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0029,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0030,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0031,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0032,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0033,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
